EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	17:30:04	0	0.1000	3.433478610754824	1.5048670768737793	0.6238	0.3257	0.428	1.638493537902832	0.6839	0.338	0.4524
1	17:44:26	0	0.1000	1.435632011416007	1.084517240524292	0.6806	0.4255	0.5236	1.2286807298660278	0.6698	0.434	0.5267
2	17:58:38	0	0.1000	1.1501116420136017	0.9392681121826172	0.6729	0.5286	0.5921	1.063452124595642	0.6558	0.4852	0.5577
3	18:12:43	0	0.1000	1.0083376398804236	0.8719415664672852	0.7154	0.4648	0.5635	0.9638291597366333	0.6943	0.4676	0.5588
4	18:26:52	1	0.1000	0.9044268790657829	0.760360062122345	0.6852	0.6056	0.6429	0.8778564929962158	0.6382	0.5696	0.602
5	18:41:02	0	0.1000	0.8460588568732852	0.6840898394584656	0.7265	0.5827	0.6467	0.8261576890945435	0.6729	0.5269	0.591
6	18:55:16	0	0.1000	0.7960649778445562	0.707179605960846	0.6604	0.6334	0.6466	0.8215289115905762	0.6197	0.6007	0.6101
7	19:09:30	1	0.1000	0.763415046847191	0.6928174495697021	0.7205	0.5696	0.6362	0.8186262845993042	0.6835	0.5359	0.6008
8	19:23:41	2	0.1000	0.7459429526815609	0.648918628692627	0.7117	0.5859	0.6427	0.748286247253418	0.6989	0.5841	0.6364
9	19:37:45	3	0.1000	0.6962494878035014	0.6710594296455383	0.701	0.5679	0.6275	0.7620198726654053	0.7242	0.563	0.6335
10	19:51:53	0	0.0500	0.6322352203990327	0.5847334861755371	0.7196	0.6301	0.6719	0.693406879901886	0.6759	0.5856	0.6275
11	20:06:14	0	0.0500	0.6165602631410774	0.5697399973869324	0.7301	0.6154	0.6679	0.6552596688270569	0.7271	0.5861	0.649
12	20:20:16	1	0.0500	0.6063990115004332	0.5646236538887024	0.7311	0.6318	0.6778	0.6576066613197327	0.7062	0.5952	0.646
13	20:34:24	0	0.0500	0.5964416547798786	0.5711961388587952	0.7101	0.6416	0.6741	0.6815168857574463	0.6615	0.6057	0.6324
14	20:48:50	1	0.0500	0.5750897501398917	0.5585139989852905	0.71	0.6612	0.6847	0.6520808935165405	0.6876	0.6047	0.6435
15	21:02:54	0	0.0500	0.5717116658176694	0.5340481996536255	0.7552	0.6563	0.7023	0.6407084465026855	0.7106	0.6017	0.6516
16	21:17:05	0	0.0500	0.548132276352571	0.5614213943481445	0.7475	0.6007	0.6661	0.6753125190734863	0.7154	0.5771	0.6389
17	21:31:15	1	0.0500	0.5468746138369145	0.5439583659172058	0.7342	0.6645	0.6976	0.6486871838569641	0.6938	0.6158	0.6525
18	21:45:27	2	0.0500	0.5343594910437558	0.5259374380111694	0.7104	0.6825	0.6962	0.6333646178245544	0.6932	0.6434	0.6674
19	21:59:51	3	0.0500	0.5287860550594573	0.5376651883125305	0.7351	0.6268	0.6766	0.6261233687400818	0.7377	0.6173	0.6722
