EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	12:07:29	0	0.1000	4.144459487021375	3.0214154720306396	0.0	0.0	0.0	3.417858839035034	0.0	0.0	0.0
1	12:12:11	0	0.1000	2.8003413318371284	2.3684444427490234	0.0	0.0	0.0	2.6779158115386963	0.0	0.0	0.0
2	12:16:50	1	0.1000	2.3210975355437014	1.9438717365264893	0.0	0.0	0.0	2.209594488143921	1.0	0.004	0.008
3	12:21:29	2	0.1000	1.9769915059512975	1.6486932039260864	0.7069	0.0678	0.1237	1.8880915641784668	0.6931	0.0703	0.1277
4	12:26:09	0	0.1000	1.7676485193019011	1.5004305839538574	0.6429	0.0893	0.1568	1.718350887298584	0.6589	0.0854	0.1512
5	12:30:44	0	0.1000	1.6431506015613777	1.8650758266448975	0.6667	0.0198	0.0385	2.1080150604248047	0.8276	0.0241	0.0468
6	12:35:21	1	0.1000	1.5125727714324484	1.3817943334579468	0.6415	0.1124	0.1913	1.5738614797592163	0.5869	0.1035	0.176
7	12:39:58	0	0.1000	1.4703295539025547	1.237450361251831	0.58	0.2397	0.3392	1.4274545907974243	0.5317	0.223	0.3142
8	12:44:33	0	0.1000	1.4128023265119718	1.2373205423355103	0.6083	0.2182	0.3212	1.408116102218628	0.5751	0.2019	0.2989
9	12:49:08	1	0.1000	1.3518755435943604	1.216013789176941	0.6734	0.2215	0.3334	1.3730473518371582	0.6528	0.2135	0.3218
10	12:53:41	2	0.1000	1.3300036315102965	1.1769219636917114	0.6699	0.2281	0.3403	1.3487077951431274	0.6425	0.2049	0.3107
11	12:58:18	0	0.1000	1.290179938179295	1.107347011566162	0.6076	0.3174	0.417	1.2781658172607422	0.5642	0.3134	0.403
12	13:02:52	0	0.1000	1.2621742576157966	1.1231071949005127	0.6893	0.2347	0.3502	1.2870416641235352	0.6483	0.2185	0.3268
13	13:07:26	1	0.1000	1.24060645963059	1.055314064025879	0.6316	0.3372	0.4397	1.228424310684204	0.6013	0.325	0.4219
14	13:12:00	0	0.1000	1.207163816812087	1.052145004272461	0.6345	0.3041	0.4111	1.2053290605545044	0.6328	0.2908	0.3985
15	13:16:35	1	0.1000	1.193946061896629	1.0288057327270508	0.6162	0.3025	0.4058	1.1957348585128784	0.6186	0.2933	0.3979
16	13:21:09	2	0.1000	1.166374249117715	1.0004050731658936	0.6132	0.3223	0.4225	1.171339988708496	0.5716	0.327	0.416
17	13:25:42	3	0.1000	1.1552901006981628	1.0042203664779663	0.6189	0.2926	0.3973	1.1684449911117554	0.6099	0.3024	0.4043
18	13:30:18	0	0.0500	1.0951614058038004	0.9817730784416199	0.6467	0.357	0.46	1.1336655616760254	0.6327	0.3556	0.4553
19	13:34:51	0	0.0500	1.0865889549458108	0.9827521443367004	0.6321	0.3322	0.4355	1.1286237239837646	0.6165	0.3335	0.4328
