EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	20:32:51	0	0.1000	3.5201552994802694	1.4864168167114258	0.5073	0.4759	0.4911	1.8179402351379395	0.4664	0.4144	0.4389
1	20:46:45	0	0.1000	1.561935978276389	0.9913389086723328	0.6563	0.4725	0.5494	1.2289844751358032	0.5936	0.441	0.506
2	21:00:46	0	0.1000	1.2011246295506453	0.8893168568611145	0.7101	0.5893	0.6441	1.1281744241714478	0.661	0.5279	0.587
3	21:14:43	0	0.1000	1.0366433471644005	0.7204628586769104	0.7301	0.5997	0.6585	0.9052666425704956	0.6901	0.556	0.6158
4	21:28:45	0	0.1000	0.926372176783831	0.6745083332061768	0.7359	0.6271	0.6772	0.8257591724395752	0.6599	0.5515	0.6009
5	21:42:43	0	0.1000	0.8410813192121026	0.6638209223747253	0.7312	0.6031	0.661	0.7922968864440918	0.6933	0.5495	0.6131
6	21:56:32	1	0.1000	0.8033939131668636	0.6312020421028137	0.739	0.6375	0.6845	0.7974583506584167	0.6708	0.565	0.6134
7	22:10:43	0	0.1000	0.7525552410860451	0.7557523250579834	0.6289	0.6581	0.6432	0.8904774188995361	0.5954	0.5892	0.5923
8	22:24:29	1	0.1000	0.7229618358672881	0.6087267398834229	0.7849	0.5893	0.6732	0.7473489046096802	0.7484	0.5379	0.6259
9	22:38:14	2	0.1000	0.6904450856706723	0.5907847285270691	0.7269	0.6495	0.686	0.7171801328659058	0.6834	0.5962	0.6368
10	22:52:18	0	0.1000	0.6687439111929362	0.5913205146789551	0.7393	0.6529	0.6934	0.722979724407196	0.6845	0.5992	0.639
11	23:06:20	0	0.1000	0.6408067078006511	0.5645298957824707	0.6956	0.6478	0.6708	0.6578844785690308	0.6999	0.6444	0.671
12	23:20:17	1	0.1000	0.6348183978678418	0.549595832824707	0.7996	0.6375	0.7094	0.6704774498939514	0.7484	0.5781	0.6523
13	23:34:17	0	0.1000	0.5910872114556176	0.5523367524147034	0.7529	0.6753	0.712	0.6437475085258484	0.723	0.6489	0.6839
14	23:48:17	0	0.1000	0.584679110520551	0.5493742823600769	0.7495	0.6632	0.7037	0.6747399568557739	0.7092	0.6163	0.6595
15	00:02:11	1	0.1000	0.5651622926499568	0.5411748290061951	0.7442	0.6649	0.7023	0.6560705900192261	0.7104	0.6148	0.6592
16	00:16:10	2	0.1000	0.5449863324055866	0.5267874598503113	0.7635	0.6821	0.7205	0.6267139911651611	0.7403	0.6399	0.6864
17	00:30:10	0	0.1000	0.5462528404329909	0.5387536883354187	0.7589	0.6924	0.7241	0.6417517066001892	0.7167	0.6429	0.6778
18	00:44:03	0	0.1000	0.5265159380375123	0.5202204585075378	0.7561	0.6976	0.7257	0.6348251104354858	0.7174	0.6439	0.6787
19	00:57:52	0	0.1000	0.5143951845108247	0.5278024077415466	0.7573	0.6649	0.7081	0.6213505864143372	0.7461	0.6434	0.691
20	01:11:40	1	0.1000	0.5027760921844414	0.5318005681037903	0.7368	0.6976	0.7167	0.6352880001068115	0.6993	0.6575	0.6778
21	01:25:29	2	0.1000	0.49519607379120223	0.5405305027961731	0.7372	0.7182	0.7276	0.6588159203529358	0.6829	0.677	0.6799
22	01:39:28	0	0.1000	0.4897686660695238	0.5159698724746704	0.7692	0.6873	0.7259	0.6081797480583191	0.7241	0.6524	0.6864
