EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	14:56:58	0	0.1000	4.027701666971454	1.709194302558899	0.4278	0.1419	0.2131	2.0527758598327637	0.5166	0.1487	0.2309
1	15:02:00	0	0.1000	1.8501591438136133	1.1303091049194336	0.7012	0.4051	0.5135	1.3693568706512451	0.6906	0.343	0.4584
2	15:06:59	0	0.1000	1.4504904402356569	0.9230380654335022	0.7056	0.4957	0.5823	1.15884530544281	0.6753	0.4169	0.5155
3	15:11:58	0	0.1000	1.2605881542981077	0.8157801628112793	0.747	0.5248	0.6165	1.041659951210022	0.706	0.4415	0.5433
4	15:17:02	0	0.1000	1.1627986311507064	0.7627096772193909	0.7097	0.5641	0.6286	1.0067118406295776	0.691	0.4952	0.5769
5	15:22:01	0	0.1000	1.0721329806410536	0.7458456754684448	0.73	0.5316	0.6152	0.9712508320808411	0.6908	0.4701	0.5595
6	15:26:53	1	0.1000	0.9985962534944216	0.7023515701293945	0.7453	0.5402	0.6264	0.9147149324417114	0.7348	0.4787	0.5797
7	15:31:47	2	0.1000	0.975335659167799	0.6663967370986938	0.6909	0.6	0.6422	0.8315432667732239	0.6825	0.5279	0.5953
8	15:36:43	0	0.1000	0.9519998410932061	0.6626825332641602	0.7051	0.5436	0.6139	0.8355284929275513	0.7039	0.4907	0.5783
9	15:41:34	1	0.1000	0.9182198374044328	0.6247597336769104	0.6679	0.6222	0.6442	0.7875044345855713	0.6818	0.55	0.6088
10	15:46:32	0	0.1000	0.8809968777963905	0.6165211796760559	0.7248	0.5897	0.6503	0.7849340438842773	0.7214	0.5188	0.6036
11	15:51:23	0	0.1000	0.8603776100338721	0.6105525493621826	0.6699	0.5863	0.6253	0.7756816148757935	0.7048	0.5349	0.6082
12	15:56:13	1	0.1000	0.851811311176034	0.6085161566734314	0.716	0.6291	0.6697	0.7875271439552307	0.6692	0.5254	0.5886
13	16:01:09	0	0.1000	0.8269728147963278	0.5880681276321411	0.7111	0.6017	0.6518	0.7544304728507996	0.7288	0.5439	0.6229
14	16:05:58	1	0.1000	0.8120293950243872	0.5856635570526123	0.7063	0.6085	0.6538	0.7504301071166992	0.7253	0.549	0.625
15	16:10:46	2	0.1000	0.8117642950545363	0.5924140214920044	0.6805	0.6444	0.662	0.7390733361244202	0.6862	0.5776	0.6272
16	16:15:36	3	0.1000	0.7837646812403283	0.5816633105278015	0.7384	0.6274	0.6784	0.7654299736022949	0.7321	0.5354	0.6185
17	16:20:33	0	0.1000	0.7603934694613729	0.5746318697929382	0.6855	0.6444	0.6643	0.7423108220100403	0.6964	0.5796	0.6327
18	16:25:25	1	0.1000	0.7559517055851261	0.5916303396224976	0.7016	0.6752	0.6881	0.720554769039154	0.6555	0.5686	0.609
19	16:30:22	0	0.1000	0.7576939837158132	0.5583352446556091	0.7045	0.6889	0.6966	0.6955105066299438	0.6678	0.5826	0.6223
