EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	14:17:48	0	0.1000	3.283435062689035	1.5387312173843384	0.5204	0.4636	0.4904	1.4904593229293823	0.5724	0.4807	0.5226
1	14:29:02	0	0.1000	1.3967524033014467	1.1445188522338867	0.6568	0.4752	0.5514	1.0898752212524414	0.6957	0.5008	0.5824
2	14:40:15	0	0.1000	1.0975878517441198	1.2234984636306763	0.5579	0.5662	0.562	1.1494380235671997	0.615	0.5575	0.5848
3	14:51:31	0	0.1000	0.9711802341804212	0.9340113401412964	0.6859	0.5315	0.5989	0.8846096396446228	0.7124	0.5213	0.602
4	15:02:52	0	0.1000	0.8638924368891586	0.8693387508392334	0.6867	0.548	0.6096	0.8086533546447754	0.7014	0.545	0.6134
5	15:14:08	0	0.1000	0.8302897953865479	0.9331828355789185	0.7261	0.4785	0.5769	0.8937572836875916	0.7588	0.4852	0.5919
6	15:25:06	1	0.1000	0.7516723913298983	0.8399456143379211	0.7112	0.5464	0.618	0.7703578472137451	0.7316	0.5284	0.6136
7	15:36:21	0	0.1000	0.7219113956401948	0.7789823412895203	0.666	0.5911	0.6263	0.6936889290809631	0.6963	0.5987	0.6438
8	15:47:38	0	0.1000	0.7079115853625901	0.8344171643257141	0.7413	0.4934	0.5925	0.7698413729667664	0.7803	0.5103	0.6171
9	15:58:43	1	0.1000	0.6838942335880532	0.7547452449798584	0.6738	0.5745	0.6202	0.6918335556983948	0.6961	0.5706	0.6271
10	16:09:50	2	0.1000	0.6522250693975663	0.7601913213729858	0.7101	0.5679	0.6311	0.693571925163269	0.7207	0.5716	0.6375
11	16:21:06	0	0.1000	0.6314375973781761	0.7551367282867432	0.6511	0.5993	0.6241	0.7105145454406738	0.6706	0.6062	0.6368
12	16:32:16	1	0.1000	0.6161657101949867	0.704456627368927	0.7012	0.5944	0.6434	0.6453459858894348	0.7239	0.5861	0.6478
13	16:43:31	0	0.1000	0.6057999096050555	0.7240588068962097	0.7074	0.5844	0.64	0.6706986427307129	0.7351	0.5756	0.6456
14	16:54:41	1	0.1000	0.5869683691230762	0.7061379551887512	0.6868	0.6026	0.642	0.6357483267784119	0.7234	0.6529	0.6863
15	17:05:52	2	0.1000	0.5696941861996845	0.6933212280273438	0.6876	0.5977	0.6395	0.6497212052345276	0.704	0.5997	0.6477
16	17:17:05	3	0.1000	0.5549045993002499	0.6788235306739807	0.654	0.5977	0.6246	0.6295366287231445	0.6884	0.6459	0.6665
17	17:28:13	0	0.0500	0.5090398776794778	0.6551368832588196	0.6709	0.6175	0.6431	0.610927939414978	0.7095	0.6549	0.6811
18	17:39:18	1	0.0500	0.499274186340167	0.6544783115386963	0.6859	0.5894	0.634	0.6012740135192871	0.7385	0.6509	0.6919
19	17:50:30	2	0.0500	0.48302609240319455	0.6626507043838501	0.6948	0.6142	0.652	0.6003615260124207	0.7405	0.6434	0.6885
