EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
0	10:59:32	0	0.1000	3.642945731983704	1.7642161846160889	0.6667	0.1235	0.2084	1.976594090461731	0.6318	0.0879	0.1543
1	11:01:57	0	0.1000	1.7752830279724938	1.1696268320083618	0.7181	0.4151	0.5261	1.3443483114242554	0.6443	0.3621	0.4636
2	11:04:19	0	0.1000	1.4254052645596518	1.0451689958572388	0.6995	0.4391	0.5395	1.1980836391448975	0.6742	0.3887	0.4931
3	11:06:41	0	0.1000	1.2576711029828	0.9145032167434692	0.7436	0.4974	0.5961	1.0602771043777466	0.6965	0.446	0.5438
4	11:09:02	0	0.1000	1.1599318092169404	0.9296554923057556	0.6892	0.4374	0.5352	1.0243531465530396	0.6447	0.4028	0.4958
5	11:11:18	1	0.1000	1.0823267456017385	0.8319275379180908	0.6629	0.6003	0.63	0.9477257132530212	0.6563	0.5304	0.5867
6	11:13:38	0	0.1000	1.0386055220349306	0.7914603352546692	0.7131	0.5712	0.6343	0.8874365091323853	0.6947	0.5018	0.5827
7	11:15:57	0	0.1000	0.9832339846358007	0.7634499669075012	0.719	0.566	0.6334	0.8781043291091919	0.7005	0.5133	0.5925
8	11:18:11	1	0.1000	0.9725563217993496	0.7576306462287903	0.6654	0.5866	0.6235	0.8762117028236389	0.6456	0.5244	0.5787
9	11:20:25	2	0.1000	0.9276458392946088	0.7741903066635132	0.6931	0.5849	0.6344	0.8569431900978088	0.7022	0.5364	0.6082
10	11:22:40	0	0.1000	0.9264950688396182	0.7558090090751648	0.6268	0.5935	0.6097	0.8209176063537598	0.6427	0.5565	0.5965
11	11:24:55	1	0.1000	0.9055202299234818	0.7424445152282715	0.6461	0.6106	0.6278	0.7990520000457764	0.671	0.55	0.6045
12	11:27:08	2	0.1000	0.8817510819252656	0.7216200232505798	0.678	0.6141	0.6445	0.7752081155776978	0.6685	0.548	0.6023
13	11:29:25	0	0.1000	0.8644166035818405	0.7138611078262329	0.6768	0.6106	0.642	0.8096814751625061	0.6491	0.5434	0.5916
14	11:31:39	1	0.1000	0.8576557600275189	0.7179814577102661	0.7084	0.5918	0.6449	0.8092504739761353	0.7003	0.5434	0.612
15	11:33:55	0	0.1000	0.8525951040946708	0.7186717987060547	0.6489	0.6278	0.6382	0.7660894393920898	0.6663	0.5726	0.6159
16	11:36:10	1	0.1000	0.8318439265396319	0.6880263090133667	0.6784	0.6261	0.6512	0.7765641808509827	0.6869	0.5796	0.6287
17	11:38:26	0	0.1000	0.8159586924071215	0.6573128700256348	0.7245	0.6089	0.6617	0.7337769865989685	0.7124	0.55	0.6208
18	11:40:44	0	0.1000	0.8021470607340742	0.6998538970947266	0.6611	0.6158	0.6376	0.7943241000175476	0.6809	0.5691	0.62
19	11:42:56	1	0.1000	0.7887687515340694	0.674646258354187	0.7042	0.6329	0.6666	0.7373023629188538	0.7019	0.5711	0.6298
